Date,Open,High,Low,Close,Volume,OpenInt
2014-01-02,22.839,22.876,22.566,22.848,35941540,0
2014-01-03,22.912,22.945,22.68,22.839,31381436,0
2014-01-06,22.832,22.848,22.548,22.558,35925630,0
2014-01-07,22.628,22.794,22.566,22.662,22195999,0
2014-01-08,22.716,22.78,22.415,22.529,33501183,0
2014-01-09,22.548,22.637,22.372,22.424,23570761,0
2014-01-10,22.593,22.904,22.593,22.619,34551744,0
2014-01-13,22.68,23.027,22.522,22.593,45460914,0
2014-01-14,23.036,23.523,22.945,23.487,83695580,0
2014-01-15,23.675,24.028,23.576,23.63,65811934,0
2014-01-16,23.601,23.689,23.327,23.513,55596813,0
2014-01-17,22.467,22.912,22.372,22.904,126988174,0
2014-01-21,22.858,22.858,22.39,22.672,47758723,0
2014-01-22,22.496,22.628,22.282,22.424,55070975,0
2014-01-23,22.298,22.372,22.061,22.265,45423787,0
2014-01-24,22.042,22.317,21.964,21.983,39697376,0
2014-01-27,21.936,22.139,21.85,21.901,36775258,0
2014-01-28,21.901,22.193,21.768,22.061,36634566,0
2014-01-29,21.926,22.115,21.821,21.866,30674661,0
2014-01-30,21.926,22.051,21.743,21.917,27780138,0
2014-01-31,21.662,21.841,21.618,21.743,32568493,0
2014-02-03,21.708,21.716,21.166,21.22,59732756,0
2014-02-04,21.243,21.29,20.891,21.102,57433641,0
2014-02-05,21.2,21.25,21.018,21.038,36315228,0
2014-02-06,21.125,21.538,21.065,21.459,31354396,0
2014-02-07,21.644,21.699,21.258,21.644,34529944,0
2014-02-10,21.566,21.795,21.519,21.727,27471659,0
2014-02-11,21.777,21.921,21.761,21.887,20039510,0
2014-02-12,21.921,22.085,21.795,21.959,28983956,0
2014-02-13,21.853,22.128,21.745,22.095,25647345,0
2014-02-14,21.95,22.145,21.834,22.136,23022989,0
2014-02-18,22.075,22.163,21.959,22.145,19844352,0
2014-02-19,22.047,22.111,21.843,21.911,28781466,0
2014-02-20,21.95,22.228,21.911,22.128,22616919,0
2014-02-21,22.315,22.324,21.777,21.843,34231746,0
2014-02-24,21.921,22.254,21.834,22.029,27026509,0
2014-02-25,22.066,22.101,21.879,22.02,24161224,0
2014-02-26,22.128,22.343,22.012,22.181,22159699,0
2014-02-27,22.181,22.181,21.921,22.145,23327625,0
2014-02-28,22.172,22.219,21.977,22.145,26255045,0
2014-03-03,21.959,21.995,21.736,21.911,28792542,0
2014-03-04,22.111,22.163,21.911,22.012,26511828,0
2014-03-05,22.095,22.101,21.824,21.911,23557249,0
2014-03-06,21.977,22.047,21.805,22.029,25061926,0
2014-03-07,22.111,22.228,21.977,22.037,28375519,0
2014-03-10,22.012,22.262,21.987,22.219,27889789,0
2014-03-11,22.163,22.228,22.012,22.12,29846743,0
2014-03-12,22.047,22.254,22.012,22.145,23768405,0
2014-03-13,22.155,22.361,21.853,21.977,29340969,0
2014-03-14,21.895,22.047,21.824,21.911,24381334,0
2014-03-17,22.037,22.2,21.903,22.095,20712558,0
2014-03-18,22.075,22.27,21.959,22.2,29453637,0
2014-03-19,22.228,22.584,22.155,22.379,37994751,0
2014-03-20,22.361,22.89,22.306,22.74,41377574,0
2014-03-21,22.907,22.968,22.505,22.514,63576796,0
2014-03-24,22.558,22.7,22.288,22.467,41313293,0
2014-03-25,22.529,22.959,22.514,22.774,36132126,0
2014-03-26,22.89,23.022,22.648,22.7,29564076,0
2014-03-27,22.682,23.032,22.62,22.638,30420880,0
2014-03-28,22.728,23.085,22.648,22.916,25585708,0
2014-03-31,22.94,23.309,22.916,23.085,32793173,0
2014-04-01,23.075,23.255,22.932,23.246,26585565,0
2014-04-02,23.22,23.299,22.932,23.155,25103428,0
2014-04-03,23.389,23.668,23.379,23.623,43131852,0
2014-04-04,23.691,23.908,23.346,23.398,53571860,0
2014-04-07,23.524,23.916,23.435,23.691,55628406,0
2014-04-08,23.577,24.131,23.57,24.069,63389258,0
2014-04-09,24.087,24.168,23.908,24.131,38542047,0
2014-04-10,24.158,24.23,23.577,23.631,45250582,0
2014-04-11,23.496,23.784,23.407,23.416,40387468,0
